name,price,specifications,number_of_reviews
Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",8 reviews
Aspire E1-510,$416.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",8 reviews
ThinkPad T540p,$416.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",8 reviews
ProBook,$416.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews
ThinkPad X240,$416.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",8 reviews
Aspire E1-572G,$416.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",8 reviews
ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",4 reviews
Pavilion,$1033.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews
Inspiron 15,$1033.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",4 reviews
Dell XPS 13,$1033.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 reviews
ThinkPad X230,$1033.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",4 reviews
HP 250 G3,$1033.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",4 reviews
ThinkPad Yoga,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",14 reviews
HP 350 G1,$1223.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",14 reviews
Asus VivoBook Ma...,$1223.99,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",14 reviews
Dell Vostro 15,$1223.99,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews
Acer Spin 5,$1223.99,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",14 reviews
Acer Aspire A515...,$1223.99,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",14 reviews
Dell Inspiron 15,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",0 reviews
Asus VivoBook S1...,$679.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",0 reviews
Asus ROG STRIX G...,$679.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",0 reviews
Acer Nitro 5 AN5...,$679.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews
